country,country_code,year,account_pct,bank_account_pct,mobile_account_pct,digital_account_pct
Argentina,ARG,2024,0.817442447,0.728989947,0.567395437,0.713077048
Armenia,ARM,2024,0.713734735,0.705332707,0.173602692,0.468623211
Bangladesh,BGD,2024,0.432839733,0.329478937,0.207683726,0.228355064
Belize,BLZ,2024,0.679682002,0.673044577,0.136663451,0.430544838
Benin,BEN,2024,0.51843206,0.199061778,0.448728519,0.476605685
Bolivia,BOL,2024,0.568490527,0.534880593,0.199779285,0.336954429
Botswana,BWA,2024,0.614384691,0.416043564,0.516178157,0.562114566
Brazil,BRA,2024,0.863811782,0.855727692,0.581666157,0.708414919
Burkina Faso,BFA,2024,0.514274912,0.205498915,0.441573641,0.449327418
Cambodia,KHM,2024,0.390314429,0.372688785,0.168896941,0.32236086
Cameroon,CMR,2024,0.608737909,0.209972994,0.550654518,0.562458145
Chad,TCD,2024,0.208983599,0.150020898,0.133358944,0.15914906
Colombia,COL,2024,0.570594856,0.433789765,0.391465593,0.460045598
Comoros,COM,2024,0.454593974,0.408476637,0.140937863,0.231367934
"Congo, Dem. Rep.",COD,2024,0.392140115,0.135068648,0.351182388,0.358637056
"Congo, Rep.",COG,2024,0.555760388,0.147200014,0.515921177,0.529683278
Cote d'Ivoire,CIV,2024,0.57567627,0.168252205,0.533817788,0.539377969
Dominican Republic,DOM,2024,0.647779639,0.632920319,0.180158284,0.417732053
Ecuador,ECU,2024,0.645052104,0.639477053,0.100848646,0.383949186
"Egypt, Arab Rep.",EGY,2024,0.431134368,0.352735535,0.156072041,0.282377388
El Salvador,SLV,2024,0.434036649,0.428629057,0.058435819,0.212981676
Eswatini,SWZ,2024,0.651160267,0.431356222,0.504069176,0.565902098
Ethiopia,ETH,2024,0.488302768,0.484704021,0.094548896,0.160954994
Gabon,GAB,2024,0.681812563,0.248315312,0.616415501,0.631165575
"Gambia, The",GMB,2024,0.381609042,0.308469116,0.190885438,0.227662762
Ghana,GHA,2024,0.812430252,0.387411034,0.782813635,0.792804742
Guatemala,GTM,2024,0.382819484,0.375315801,0.03300105,0.132038886
Guinea,GIN,2024,0.36048025,0.169033571,0.258219395,0.29254098
Honduras,HND,2024,0.424429707,0.39273054,0.108892565,0.228849199
India,IND,2024,0.890248225,0.886553603,0.231007554,0.31066887
Indonesia,IDN,2024,0.563278494,0.523919069,0.220129024,0.373694773
"Iran, Islamic Rep.",IRN,2024,0.910610045,0.910610045,0.131040105,0.851175735
Iraq,IRQ,2024,0.301610518,0.282661963,0.118649863,0.19390909
Jordan,JOR,2024,0.464573138,0.395770643,0.205639167812616,0.29467966
Kazakhstan,KAZ,2024,0.870486447,0.84197223,0.488575255,0.779809621
Kenya,KEN,2024,0.901199174,0.454278444,0.874994113,0.894038659
Kyrgyz Republic,KGZ,2024,0.722642376,0.699585473,0.310351086,0.591015348
Lao PDR,LAO,2024,0.376501969,0.372299012,0.118384277,0.272647166
Lebanon,LBN,2024,0.230438576,0.215510155,0.027158979,0.094999223
Lesotho,LSO,2024,0.615710445,0.335292031,0.534728195,0.564115625
Liberia,LBR,2024,0.522139331,0.138832556,0.475292537,0.483566449
Madagascar,MDG,2024,0.244501397,0.094532663,0.193550167,0.204746757
Malawi,MWI,2024,0.503696725,0.12406691,0.473991978,0.476521252
Malaysia,MYS,2024,0.886918012,0.87183103,0.445049317,0.655306119
Mali,MLI,2024,0.547454806,0.184475281,0.483876159,0.513710356
Mauritius,MUS,2024,0.89598448,0.895179808,0.101270672,0.631631808
Mexico,MEX,2024,0.530320833,0.52389107,0.104373885,0.344182396
Mongolia,MNG,2024,0.982787008,0.982178824,0.640304314,0.962048938
Morocco,MAR,2024,0.443863291,0.424611317,0.058756973,0.165996078
Mozambique,MOZ,2024,0.543852875,0.250840349,0.45720986,0.496680777
Namibia,NAM,2024,0.729187673,0.626974954,0.484473581,0.660951479
Nepal,NPL,2024,0.599911157,0.575256881,0.105834365,0.176216142
Nicaragua,NIC,2024,0.234705927,0.215052816,0.080878133,0.145828772
Niger,NER,2024,0.148268992,0.126669936,0.057003706,0.074282228
Nigeria,NGA,2024,0.632613514,0.597277056,0.327907521,0.531441194
Pakistan,PAK,2024,0.272960072,0.18281262,0.183578643,0.198483696
Panama,PAN,2024,0.640952131,0.608679812,0.380533533,0.490105705
Paraguay,PRY,2024,0.60916761,0.455472583,0.359483793,0.472629972
Peru,PER,2024,0.593098978,0.498244622,0.42497337,0.479470402
Philippines,PHL,2024,0.501824221,0.335357459,0.288000006,0.327474932
Saudi Arabia,SAU,2024,0.788409517,0.779538335,0.365012282,0.746341389
Senegal,SEN,2024,0.764609257,0.480495953,0.66912649,0.735634312
Sierra Leone,SLE,2024,0.386205211,0.150133412,0.321957258,0.338226971
South Africa,ZAF,2024,0.811259662,0.784330264,0.316232017,0.677592513
Sri Lanka,LKA,2024,0.816921294,0.812270146,0.029961648,0.343865834
Tajikistan,TJK,2024,0.545193771,0.524742715,0.144302101,0.27896827
Tanzania,TZA,2024,0.598275253,0.219441734,0.528539837,0.550354145
Thailand,THA,2024,0.918249815,0.911189014,0.416773814,0.69230511
Togo,TGO,2024,0.574329534,0.324420271,0.479918379,0.51323557
Tunisia,TUN,2024,0.37844486,0.37737117,0.026456293,0.118958043
Turkiye,TUR,2024,0.815545478,0.815082105,0.233225246,0.645943542
Uganda,UGA,2024,0.728273758,0.261733237,0.677382954,0.695499544
"Venezuela, RB",VEN,2024,0.873184628,0.863742959,0.337396759,0.811894222
Viet Nam,VNM,2024,0.705507534,0.698541923,0.38723284,0.62741282
West Bank and Gaza,PSE,2024,0.396209836,0.386652297,0.061631687,0.194088814
Zambia,ZMB,2024,0.727024246,0.240723734,0.693107513,0.702662474
Zimbabwe,ZWE,2024,0.495216018,0.215661531,0.433317369,0.465431858
Argentina,ARG,2024,0.789395531,0.68401531,0.583533395,0.69191236
Argentina,ARG,2024,0.842497433,0.769166873,0.55297901,0.731983974
Armenia,ARM,2024,0.755669245,0.742415917,0.200104353,0.460333928
Armenia,ARM,2024,0.679879799,0.675394366,0.15220714,0.475315388
Bangladesh,BGD,2024,0.535110284,0.395134239,0.272008298,0.289157066
Bangladesh,BGD,2024,0.333460003,0.265679474,0.145177377,0.169271715
Belize,BLZ,2024,0.710650825,0.707910502,0.139969882,0.489748991
Belize,BLZ,2024,0.651819147,0.641675475,0.133688633,0.377278471
Benin,BEN,2024,0.550161875,0.199045655,0.502886229,0.517675028
Benin,BEN,2024,0.49055747,0.199075942,0.40115106,0.440526334
Bolivia,BOL,2024,0.603300945,0.584710028,0.231421439,0.383931295
Bolivia,BOL,2024,0.534638308,0.486422773,0.16900812,0.291270657
Botswana,BWA,2024,0.635502088,0.433836812,0.539959362,0.593863286
Botswana,BWA,2024,0.596866155,0.401282671,0.496449785,0.535776516
Brazil,BRA,2024,0.908535853,0.903605795,0.622510312,0.75222126
Brazil,BRA,2024,0.822763902,0.811785033,0.544179275,0.668209334
Burkina Faso,BFA,2024,0.597853699,0.236207364,0.511241098,0.517166006
Burkina Faso,BFA,2024,0.439890405,0.178168622,0.379570117,0.388951573
Cambodia,KHM,2024,0.415805707,0.392410017,0.191400753,0.368724377
Cambodia,KHM,2024,0.367988837,0.355416674,0.149187811,0.281755092
Cameroon,CMR,2024,0.693553578,0.257333906,0.625927487,0.639621361
Cameroon,CMR,2024,0.528996933,0.165445782,0.479885285,0.489911761
Chad,TCD,2024,0.216937638,0.162493113,0.151476468,0.170873901
Chad,TCD,2024,0.201401532,0.138131946,0.116088687,0.147972532
Colombia,COL,2024,0.636600566,0.528971141,0.425727039,0.491416961
Colombia,COL,2024,0.509915485,0.34628906,0.359968878,0.43120575
Comoros,COM,2024,0.49602472,0.444538132,0.186429399,0.278941627
Comoros,COM,2024,0.418394427,0.3769684,0.101190256,0.18980107
"Congo, Dem. Rep.",COD,2024,0.445944459,0.154003537,0.414846022,0.422853437
"Congo, Dem. Rep.",COD,2024,0.334561428,0.114805488,0.283052787,0.289915933
"Congo, Rep.",COG,2024,0.605586391,0.184199588,0.559433457,0.571808463
"Congo, Rep.",COG,2024,0.505916393,0.110187079,0.472393186,0.487542883
Cote d'Ivoire,CIV,2024,0.612027447,0.211728429,0.577205923,0.580425135
Cote d'Ivoire,CIV,2024,0.538175498,0.123401058,0.489057516,0.497032699
Dominican Republic,DOM,2024,0.682420116,0.663226207,0.21327548,0.472928989
Dominican Republic,DOM,2024,0.614376464,0.603696909,0.148223982,0.364506662
Ecuador,ECU,2024,0.655985687,0.647399653,0.122459785,0.448130576
Ecuador,ECU,2024,0.635126837,0.63228509,0.081230529,0.325686733
"Egypt, Arab Rep.",EGY,2024,0.459509693,0.343555303,0.232234437,0.347001321
"Egypt, Arab Rep.",EGY,2024,0.402142182,0.36211534,0.078253925,0.216348574
Eswatini,SWZ,2024,0.64809563,0.450968662,0.510170367,0.569066469
Eswatini,SWZ,2024,0.653509472,0.416322258,0.499392292,0.563476441
Gabon,GAB,2024,0.724173292,0.303276114,0.6567943,0.66661184
Gabon,GAB,2024,0.637213311,0.190450144,0.573902913,0.593846176
"Gambia, The",GMB,2024,0.41726889,0.344972745,0.201370499,0.243358426
"Gambia, The",GMB,2024,0.348624919,0.274704525,0.18118712,0.213144818
Ghana,GHA,2024,0.844194236,0.466233056,0.810431671,0.822275872
Ghana,GHA,2024,0.783104467,0.314639378,0.757315555,0.765595811
Guinea,GIN,2024,0.408599709,0.180650812,0.310028487,0.345720004
Guinea,GIN,2024,0.312380546,0.157421099,0.206431573,0.239383788
Honduras,HND,2024,0.527899759,0.481952283,0.157323056,0.30545409
Honduras,HND,2024,0.340839092,0.320650744,0.0697669,0.16696221
India,IND,2024,0.888052472,0.882323059,0.318183089,0.403798001
India,IND,2024,0.892482328,0.890858039,0.142309393,0.215913126
Indonesia,IDN,2024,0.546388119,0.509147458,0.241305391,0.380771688
Indonesia,IDN,2024,0.580308452,0.538812753,0.198777655,0.366559374
"Iran, Islamic Rep.",IRN,2024,0.953254506,0.953254506,0.170013923,0.900020341
"Iran, Islamic Rep.",IRN,2024,0.867880629,0.867880629,0.091988645,0.802233823
Iraq,IRQ,2024,0.407785225,0.37761303,0.174429062,0.275820908
Iraq,IRQ,2024,0.188101425,0.181151821,0.059017522,0.106338929
Jordan,JOR,2024,0.55919676,0.473694953,0.26494598,0.369267626
Jordan,JOR,2024,0.362234646,0.311492994,0.141496942,0.214010373
Kazakhstan,KAZ,2024,0.885002868,0.867659414,0.55097579,0.794583812
Kazakhstan,KAZ,2024,0.857420595,0.818851862,0.432410156,0.766511755
Kenya,KEN,2024,0.93889509,0.573062136,0.916719908,0.933910463
Kenya,KEN,2024,0.865155344,0.340700646,0.835097021,0.855914303
Kyrgyz Republic,KGZ,2024,0.733780751,0.699894109,0.346487529,0.610397768
Kyrgyz Republic,KGZ,2024,0.71235056,0.699300295,0.276961151,0.573106065
Lao PDR,LAO,2024,0.31709979,0.312112799,0.109606898,0.202121103
Lao PDR,LAO,2024,0.435865025,0.432445585,0.127155874,0.343126779
Lesotho,LSO,2024,0.629153027,0.390520078,0.535584217,0.568577553
Lesotho,LSO,2024,0.604259619,0.288246996,0.533999007,0.560314811
Liberia,LBR,2024,0.581311447,0.187170709,0.52975255,0.53978026
Liberia,LBR,2024,0.462794637,0.090353422,0.420673688641825,0.427188686
Malawi,MWI,2024,0.548354766,0.156327215,0.513829426,0.51843788
Malawi,MWI,2024,0.462797708,0.094522069,0.437507789,0.438132895
Malaysia,MYS,2024,0.891413579,0.880182343,0.464669673,0.660403437
Malaysia,MYS,2024,0.882264702,0.863186681,0.424740507,0.650029942
Mali,MLI,2024,0.641852798,0.228104501,0.563195856,0.60866025
Mali,MLI,2024,0.456045966,0.142227599,0.407068152,0.42176709
Mauritius,MUS,2024,0.917832048,0.916211848,0.124168694,0.684914231
Mauritius,MUS,2024,0.874427703,0.874427703,0.078677421,0.579058571
Mexico,MEX,2024,0.591387643,0.579100407,0.150677923,0.42883755
Mexico,MEX,2024,0.47401701,0.472987858,0.061681392,0.266130033
Mongolia,MNG,2024,0.975086522,0.973804715,0.623375816,0.942822087
Mongolia,MNG,2024,0.989739437,0.989739437,0.655588307,0.979408014
Mozambique,MOZ,2024,0.633549962,0.315613305,0.543509692,0.58437792
Mozambique,MOZ,2024,0.454883633,0.186592992,0.371610306,0.409695251
Namibia,NAM,2024,0.706592777,0.591068804,0.490730327,0.677280545
Namibia,NAM,2024,0.750382248,0.660655816,0.478604596,0.645634409
Nepal,NPL,2024,0.602270903,0.562125618,0.17069709,0.236805021
Nepal,NPL,2024,0.597778343,0.587125336,0.047209357,0.121453973
Nigeria,NGA,2024,0.743028796,0.701125858,0.405595793,0.618800974
Nigeria,NGA,2024,0.522155914,0.493388453,0.250189474,0.444047932
Pakistan,PAK,2024,0.422935436,0.268149732,0.321905679,0.340750745
Pakistan,PAK,2024,0.119121697,0.095277425,0.04168863,0.052552185
Panama,PAN,2024,0.70391512,0.671001389,0.392413931,0.506874635
Panama,PAN,2024,0.581187551,0.549524061,0.369256639,0.474188608
Paraguay,PRY,2024,0.617674731,0.487531151,0.36581947,0.481688049
Paraguay,PRY,2024,0.601097093,0.425059329,0.353473275,0.464036775
Peru,PER,2024,0.624782759,0.535640585,0.476929215,0.53699655
Peru,PER,2024,0.561785669,0.461285922,0.373625034,0.422616896
Philippines,PHL,2024,0.430424,0.282824919,0.263996432,0.288243343
Philippines,PHL,2024,0.57101611,0.386265224,0.311261176,0.365493129
Saudi Arabia,SAU,2024,0.818127654,0.811041011,0.393913373,0.782106042
Saudi Arabia,SAU,2024,0.734619015,0.722517777,0.312700652,0.681606555
Senegal,SEN,2024,0.796122559,0.520275983,0.714921166,0.772808516
Senegal,SEN,2024,0.735941346,0.444307731,0.627466692,0.70181663
Sierra Leone,SLE,2024,0.414790319,0.169434228,0.335757177,0.363607099
Sierra Leone,SLE,2024,0.359347203,0.131998744,0.308991126,0.314380302
South Africa,ZAF,2024,0.812787435,0.769403097,0.401145918,0.70732436
South Africa,ZAF,2024,0.809924154,0.797378897,0.242004247,0.651602319
Tajikistan,TJK,2024,0.625557725,0.588959209,0.218867251,0.359353523
Tajikistan,TJK,2024,0.469005363,0.463862777,0.073611202,0.202759668
Tanzania,TZA,2024,0.653362469,0.273699186,0.562354788,0.599877982
Tanzania,TZA,2024,0.549346318,0.171249802,0.49850511,0.506366651
Thailand,THA,2024,0.909182448,0.909182448,0.446925458,0.717473824
Thailand,THA,2024,0.927000685,0.913125541,0.387674614,0.66801491
Togo,TGO,2024,0.699999828,0.388370971,0.613967254,0.644936179
Togo,TGO,2024,0.453494825,0.262930288,0.351027482,0.386602583
Turkiye,TUR,2024,0.916080831,0.916080831,0.291661947,0.782587034
Turkiye,TUR,2024,0.7166755,0.71575643,0.175756552,0.511563559
Uganda,UGA,2024,0.802678607,0.334269415,0.746449535,0.761970304
Uganda,UGA,2024,0.663670902,0.198752876,0.617415111,0.637785551
"Venezuela, RB",VEN,2024,0.869300365,0.858176053,0.381387178,0.823959702
"Venezuela, RB",VEN,2024,0.877033336,0.869258909,0.293809006,0.799939184
Viet Nam,VNM,2024,0.712493315,0.703124673,0.405124761,0.631106595
Viet Nam,VNM,2024,0.698844155,0.694170673,0.370166655,0.623889518
Zambia,ZMB,2024,0.754614346,0.294751901,0.732352723,0.745248383
Zambia,ZMB,2024,0.701720749,0.191173298,0.657114854,0.663605987
Zimbabwe,ZWE,2024,0.52401337,0.244630545,0.471589137,0.495410563
Zimbabwe,ZWE,2024,0.469940182,0.190235024,0.399725706,0.439119132
Argentina,ARG,2024,0.864417641,0.794774104,0.614011013,0.768146342
Argentina,ARG,2024,0.746649665,0.629851591,0.497144608,0.630086258
Armenia,ARM,2024,0.762371412,0.748394632,0.203007347,0.534890807
Armenia,ARM,2024,0.640431619,0.640431619,0.129285256,0.36874753
Bangladesh,BGD,2024,0.481890552,0.382136436,0.236437843,0.265963089
Bangladesh,BGD,2024,0.355467073,0.246417108,0.16232704,0.169032243
Belize,BLZ,2024,0.707706158,0.698438017,0.163027247,0.498027119
Belize,BLZ,2024,0.637647609,0.634956087,0.097119491,0.329325851
Benin,BEN,2024,0.587139782,0.234842289,0.514055869,0.548931079
Benin,BEN,2024,0.415027171,0.14521223,0.350411078,0.367756209
Bolivia,BOL,2024,0.64379584,0.611400744,0.249322022,0.407526576
Bolivia,BOL,2024,0.455603934,0.420172894,0.125512139,0.231163098
Botswana,BWA,2024,0.693996817,0.485720621,0.608549002,0.653834454
Botswana,BWA,2024,0.49437268,0.311008262,0.376932903,0.423850604
Brazil,BRA,2024,0.918922107,0.916769893,0.645588672,0.783520198
Brazil,BRA,2024,0.780975447,0.763975153,0.485584217,0.595524165
Burkina Faso,BFA,2024,0.600238737,0.257373451,0.517231294,0.530155003
Burkina Faso,BFA,2024,0.385347844,0.127698378,0.328103594,0.328103594
Cambodia,KHM,2024,0.46319534,0.444623028,0.192197046,0.384865054
Cambodia,KHM,2024,0.281273293,0.26506401,0.134036373,0.228844899
Cameroon,CMR,2024,0.715008863,0.259741636,0.655139634,0.670060969
Cameroon,CMR,2024,0.44891987,0.135127267,0.393522154,0.400637143
Chad,TCD,2024,0.207856126,0.140829074,0.144309802,0.159810015
Chad,TCD,2024,0.210676399,0.16382159,0.116917221,0.158156696
Colombia,COL,2024,0.664939467,0.526464937,0.477208915,0.563220094
Colombia,COL,2024,0.429248421,0.29494447,0.263005548,0.305470291
Comoros,COM,2024,0.524204684,0.482151798,0.164773504,0.257612396
Comoros,COM,2024,0.350109004,0.297890969,0.105160808,0.191975262
"Congo, Dem. Rep.",COD,2024,0.47662483,0.1667616,0.431408139,0.438174941
"Congo, Dem. Rep.",COD,2024,0.265410579,0.087528297,0.230841422,0.239327909
"Congo, Rep.",COG,2024,0.648105386,0.194985498,0.58977413,0.612042994
"Congo, Rep.",COG,2024,0.4170827,0.075438894,0.405013635,0.406000836
Cote d'Ivoire,CIV,2024,0.669277521,0.213887575,0.621947963,0.625165223
Cote d'Ivoire,CIV,2024,0.435262534,0.099793367,0.401611359,0.41068622
Dominican Republic,DOM,2024,0.726289033,0.71181054,0.233989507,0.527579606
Dominican Republic,DOM,2024,0.52950278,0.514069733,0.099059862,0.252243277
Ecuador,ECU,2024,0.698771073,0.695118194,0.135344164,0.485514483
Ecuador,ECU,2024,0.564453859,0.555994841,0.04909266,0.231563824
"Egypt, Arab Rep.",EGY,2024,0.497821904,0.409925654,0.200326031,0.320018631
"Egypt, Arab Rep.",EGY,2024,0.330809494,0.266698596,0.089496242,0.225749821
Eswatini,SWZ,2024,0.722174467,0.481962337,0.585659501,0.652718796
Eswatini,SWZ,2024,0.544790275,0.355554872,0.381857529,0.435862026
Gabon,GAB,2024,0.736690787,0.291752445,0.675083115,0.690535865
Gabon,GAB,2024,0.599569791,0.183218631,0.528493794,0.542190806
"Gambia, The",GMB,2024,0.406598827,0.331081006,0.20828538,0.254272156
"Gambia, The",GMB,2024,0.344089976,0.274520166,0.164761581,0.187712055
Ghana,GHA,2024,0.890315781,0.49430854,0.855771728,0.87040638
Ghana,GHA,2024,0.695783204,0.227313532,0.673546273,0.676582868
Guinea,GIN,2024,0.405177154,0.16776212,0.320406746,0.344376581
Guinea,GIN,2024,0.293012687,0.170952756,0.164350947,0.214297938
Honduras,HND,2024,0.482404991,0.455967211,0.115911306,0.256645668
Honduras,HND,2024,0.337073036,0.297446057,0.098316783,0.186965713
India,IND,2024,0.908311711,0.902532259,0.321073438,0.407965309
India,IND,2024,0.863166813,0.862597842,0.095977622,0.164798637
